"","Id","Id2","age60_perc","bachelor_perc","Geography","Year","est.white.percent","est.black.percent"
"63","0500000US06001",6001,16.7,63715,"Alameda County, California",2016,0.417591388,0.106120395
"64","0500000US06001",6001,16.7,63715,"Alameda County, California",2017,0.397957539,0.105116673
"65","0500000US06007",6007,22.2,5.7,"Butte County, California",2010,0.840097786,0.014027227
"66","0500000US06007",6007,22.2,5.7,"Butte County, California",2011,0.832080303,0.01443709
"67","0500000US06007",6007,22.2,5.7,"Butte County, California",2012,0.849069464,0.015460032
"68","0500000US06007",6007,22.2,5.7,"Butte County, California",2013,0.833837633,0.015020937
"69","0500000US06007",6007,22.2,5.7,"Butte County, California",2014,0.819372907,0.015911452
"70","0500000US06007",6007,22.2,5.7,"Butte County, California",2015,0.827515072,0.011450195
"71","0500000US06007",6007,22.2,5.7,"Butte County, California",2016,0.828214261,0.015705445
"72","0500000US06007",6007,22.2,5.7,"Butte County, California",2017,0.810928328,0.018264761
"73","0500000US06007",6007,22.2,6.2,"Butte County, California",2010,0.840097786,0.014027227
"74","0500000US06007",6007,22.2,6.2,"Butte County, California",2011,0.832080303,0.01443709
"75","0500000US06007",6007,22.2,6.2,"Butte County, California",2012,0.849069464,0.015460032
"76","0500000US06007",6007,22.2,6.2,"Butte County, California",2013,0.833837633,0.015020937
"77","0500000US06007",6007,22.2,6.2,"Butte County, California",2014,0.819372907,0.015911452
"78","0500000US06007",6007,22.2,6.2,"Butte County, California",2015,0.827515072,0.011450195
"79","0500000US06007",6007,22.2,6.2,"Butte County, California",2016,0.828214261,0.015705445
"80","0500000US06007",6007,22.2,6.2,"Butte County, California",2017,0.810928328,0.018264761
"81","0500000US06007",6007,22.2,7.9,"Butte County, California",2010,0.840097786,0.014027227
"82","0500000US06007",6007,22.2,7.9,"Butte County, California",2011,0.832080303,0.01443709
"83","0500000US06007",6007,22.2,7.9,"Butte County, California",2012,0.849069464,0.015460032
"84","0500000US06007",6007,22.2,7.9,"Butte County, California",2013,0.833837633,0.015020937
"85","0500000US06007",6007,22.2,7.9,"Butte County, California",2014,0.819372907,0.015911452
"86","0500000US06007",6007,22.2,7.9,"Butte County, California",2015,0.827515072,0.011450195
"87","0500000US06007",6007,22.2,7.9,"Butte County, California",2016,0.828214261,0.015705445
"88","0500000US06007",6007,22.2,7.9,"Butte County, California",2017,0.810928328,0.018264761
"89","0500000US06007",6007,22.2,10,"Butte County, California",2010,0.840097786,0.014027227
"90","0500000US06007",6007,22.2,10,"Butte County, California",2011,0.832080303,0.01443709
"91","0500000US06007",6007,22.2,10,"Butte County, California",2012,0.849069464,0.015460032
"92","0500000US06007",6007,22.2,10,"Butte County, California",2013,0.833837633,0.015020937
"93","0500000US06007",6007,22.2,10,"Butte County, California",2014,0.819372907,0.015911452
"94","0500000US06007",6007,22.2,10,"Butte County, California",2015,0.827515072,0.011450195
"95","0500000US06007",6007,22.2,10,"Butte County, California",2016,0.828214261,0.015705445
"96","0500000US06007",6007,22.2,10,"Butte County, California",2017,0.810928328,0.018264761
"97","0500000US06007",6007,22.2,7.4,"Butte County, California",2010,0.840097786,0.014027227
"98","0500000US06007",6007,22.2,7.4,"Butte County, California",2011,0.832080303,0.01443709
"99","0500000US06007",6007,22.2,7.4,"Butte County, California",2012,0.849069464,0.015460032
"100","0500000US06007",6007,22.2,7.4,"Butte County, California",2013,0.833837633,0.015020937
"101","0500000US06007",6007,22.2,7.4,"Butte County, California",2014,0.819372907,0.015911452
"102","0500000US06007",6007,22.2,7.4,"Butte County, California",2015,0.827515072,0.011450195
